id,type,original_url,local_path,filename,size_bytes,size_human,format,mime_type,hash_md5,dimensions,page_count,title,description,alt_text,keywords,topics,language,author,organization,date_created,date_published,source_page,license,usage_context,priority,status,date_archived,notes
asset_001,pdf,https://crpg.info/wp-content/uploads/2024/07/Realizing-Access-to-Safe-Inclusive-Sustainable-and-Climate-Resillient-Drinking-Water-Sanitation-and-Hygiene-for-All.pdf,assets/pdfs/proceedings/conferences/2023-iswash-proceedings.pdf,2023-iswash-proceedings.pdf,3741730,3.7 MB,pdf,application/pdf,pending,N/A,pending,Realizing Access to Safe Inclusive Sustainable and Climate-Resilient Drinking Water Sanitation and Hygiene for All,"IsWASH 2023 symposium proceedings covering sustainable WASH infrastructure, climate resilience, and inclusive access to water and sanitation services in Indonesia.",N/A,WASH;water;sanitation;hygiene;climate;Indonesia;SDG6;symposium,water;governance;climate,en,Multiple Authors,CRPG/Bappenas,2023-03-20,2024-07,https://crpg.info/wash/,Unknown,/wash/symposium;/research/iswash-2023,1,verified,pending,Major conference proceedings - HIGH PRIORITY
asset_002,pdf,https://cloud.crpg.info/docs/aiirareport8072016_2.pdf,assets/pdfs/research-papers/2016-aiira/2016-aiira-water-sanitation-regulatory-frameworks.pdf,2016-aiira-water-sanitation-regulatory-frameworks.pdf,pending,5-10 MB est,pdf,application/pdf,pending,N/A,pending,The Role of Regulatory Frameworks in Ensuring The Sustainability of Community-Based Water and Sanitation,"Comprehensive research report on regulatory frameworks for community-based water and sanitation systems in Indonesia, including field studies from East Nusa Tenggara and East Java.",N/A,AIIRA;water;sanitation;regulation;community;governance;Indonesia;sustainability,water;regulation;governance,en,Mohamad Mova Al'Afghani et al,CRPG/UNESCO/University of Dundee,2016-08-07,2016-08,https://blog.crpg.info/2016/australia-indonesia-infrastructure-research/,Unknown,/research/aiira;/publications/2016,1,pending,pending,Major research output with UNESCO partnership
asset_003,pdf,https://crpg.info/wp-content/uploads/2022/05/W2-4-UNICEF-water-sanitation-and-hygiene-research-agenda-06042022.pdf,assets/pdfs/research-papers/2022-wash/2022-unicef-wash-research-agenda.pdf,2022-unicef-wash-research-agenda.pdf,pending,2-5 MB est,pdf,application/pdf,pending,N/A,pending,UNICEF Water Sanitation and Hygiene Research Agenda,Research agenda document for WASH research priorities in collaboration with UNICEF.,N/A,UNICEF;WASH;research;agenda;water;sanitation;hygiene,water;research,en,UNICEF/CRPG,UNICEF,2022-04-06,2022-05,https://crpg.info/,Unknown,/research/wash;/partnerships/unicef,1,pending,pending,International partnership document
asset_004,pdf,https://crpg.info/wp-content/uploads/2022/05/W2-5-Trends-WASH-research-Indonesia.pdf,assets/pdfs/reports/research/2022-wash-research-trends-indonesia.pdf,2022-wash-research-trends-indonesia.pdf,pending,2-4 MB est,pdf,application/pdf,pending,N/A,pending,Trends in WASH Research Indonesia,Analysis of water sanitation and hygiene research trends in Indonesia.,N/A,WASH;research;trends;Indonesia;water;sanitation,water;research,en,CRPG,CRPG,2022,2022-05,https://crpg.info/,Unknown,/research/wash-trends,1,pending,pending,Research analysis document
asset_005,pdf,pending,assets/pdfs/research-papers/2017-pops/2017-pops-regulation-indonesia-main-report.pdf,2017-pops-regulation-indonesia-main-report.pdf,pending,10-15 MB est,pdf,application/pdf,pending,N/A,pending,Regulation of Persistent Organic Pollutants in Indonesia - Main Report,"Major research report on POPs and PCB regulation in Indonesia, produced in collaboration with UNIDO and Ministry of Environment and Forestry. Includes 6 annexes covering international conventions, regulatory frameworks, and institutional arrangements.",N/A,POPs;PCB;chemicals;regulation;Indonesia;UNIDO;environment;pollution,environment;regulation,en,Mohamad Mova Al'Afghani et al,CRPG/UNIDO/Ministry of Environment,2017-07,2017-07,https://blog.crpg.info/2017/07/regulation-of-persistent-organic.html,Unknown,/research/pops;/projects/unido,1,pending,pending,Major environmental regulation research - multi-part report
asset_006,pdf,pending,assets/pdfs/reports/assessment/2017-ogp-irm-end-of-term-report-2013-2015.pdf,2017-ogp-irm-end-of-term-report-2013-2015.pdf,pending,3-5 MB est,pdf,application/pdf,pending,N/A,pending,Indonesia OGP-IRM End of Term Report 2013-2015,Independent assessment of Indonesia's Open Government Partnership commitments and implementation for the 2013-2015 period.,N/A,OGP;Open Government Partnership;IRM;transparency;accountability;Indonesia;governance,governance;transparency,en,CRPG (Independent Reviewer),OGP/CRPG,2017-07,2017-07,https://blog.crpg.info/2017/07/indonesia-ogp-irm-end-of-term-report.html,Unknown,/research/ogp;/governance/transparency,1,pending,pending,Independent assessment for OGP
asset_007,pdf,pending,assets/pdfs/research-papers/2017-sanitation/2017-local-government-sanitation-part1.pdf,2017-local-government-sanitation-part1.pdf,pending,2-4 MB est,pdf,application/pdf,pending,N/A,pending,Increasing Local Government Responsibility for Communal Scale Sanitation - Part 1,Research report on local government roles in communal sanitation systems in Indonesia. Collaboration with University of Technology Sydney.,N/A,sanitation;local government;communal;Indonesia;governance;UTS,water;governance,en,CRPG/UTS Researchers,CRPG/UTS Institute for Sustainable Futures,2017-07,2017-07,https://blog.crpg.info/2017/07/increasing-local-government.html,Unknown,/research/sanitation;/partnerships/uts,2,pending,pending,UTS collaboration - two-part report
asset_008,pdf,pending,assets/pdfs/policy-briefs/2021/2021-pb-01-water-allocation-law-17-2019.pdf,2021-pb-01-water-allocation-law-17-2019.pdf,pending,500 KB-2 MB est,pdf,application/pdf,pending,N/A,pending,Policy Brief 01/2021: Water Allocation Issues Under Law 17/2019,Policy brief analyzing five key water allocation issues under Indonesia's Water Law 17/2019.,N/A,water;allocation;law;policy;Indonesia;governance;regulation,water;policy,en/id,Mohamad Mova Al'Afghani,CRPG,2021-01-28,2021-01,https://blog.crpg.info/2021/01/water-allocation-issues-under-law.html,Unknown,/policy/water-law;/publications/policy-briefs,2,pending,pending,Policy Brief series
asset_009,pdf,pending,assets/pdfs/policy-briefs/2018/2018-water-resources-bill-series-01.pdf,2018-water-resources-bill-series-01.pdf,pending,2-5 MB est,pdf,application/pdf,pending,N/A,pending,Seri Kajian Rancangan Undang Undang Sumber Daya Air,Policy analysis series on Indonesia's Water Resources Bill (RUU SDA).,N/A,water;legislation;Indonesia;policy;RUU SDA;analysis,water;policy,id,Mohamad Mova Al'Afghani,CRPG,2018-08,2018-08,https://blog.crpg.info/2018/08/seri-kajian-rancangan-undang-undang.html,Unknown,/policy/water-resources-bill,2,pending,pending,Indonesian language policy series
asset_010,pdf,pending,assets/pdfs/policy-briefs/2018/2018-position-paper-jejaring-ampl-ruu-sda.pdf,2018-position-paper-jejaring-ampl-ruu-sda.pdf,pending,1-3 MB est,pdf,application/pdf,pending,N/A,pending,Kertas Posisi Masukan Jejaring AMPL untuk RUU SDA,Position paper from WASH network (Jejaring AMPL) providing input on Water Resources Bill.,N/A,water;WASH;position paper;Indonesia;legislation;AMPL,water;policy,id,Jejaring AMPL/CRPG,Jejaring AMPL,2018-10,2018-10,https://blog.crpg.info/2018/10/kertas-posisi-masukan-jejaring-ampl.html,Unknown,/policy/wash-network,2,pending,pending,WASH network position paper
